rep	time	treatment	embryo	endosperm	ratio
rep4	98	10C	1.02	3.27	0.31
rep5	98	10C	1.21	3.65	0.33
rep6	98	10C	0.75	3.44	0.22
rep7	98	10C	0.97	3.77	0.26
rep8	98	10C	1.62	3.71	0.44
rep9	98	10C	0.87	3.61	0.24
rep10	98	10C	0.73	2.94	0.25
rep1	98	dark	2.53	3.52	0.72
rep2	98	dark	2.37	3.50	0.68
rep3	98	dark	2.36	3.27	0.72
rep4	98	dark	2.71	3.74	0.72
rep5	98	dark	2.31	3.47	0.67
rep6	98	dark	2.39	3.41	0.70
rep7	98	dark	2.67	3.69	0.72
rep8	98	dark	1.70	3.32	0.51
rep9	98	dark	2.07	3.51	0.59
rep10	98	dark	2.17	3.32	0.65
rep1	112	m-2.5C	0.37	3.01	0.12
rep2	112	m-2.5C	0.75	2.82	0.27
rep3	112	m-2.5C	0.78	2.87	0.27
rep4	112	m-2.5C	1.26	3.40	0.37
rep5	112	m-2.5C	0.94	3.11	0.30
rep6	112	m-2.5C	1.20	3.20	0.38
rep7	112	m-2.5C	1.15	3.72	0.31
rep8	112	m-2.5C	1.15	3.43	0.34
rep9	112	m-2.5C	0.55	3.76	0.15
rep10	112	m-2.5C	1.41	3.13	0.45
rep1	112	0C	2.42	2.77	0.87
rep2	112	0C	2.23	2.66	0.84
rep3	112	0C	2.53	2.72	0.93
rep4	112	0C	2.68	2.99	0.90
rep5	112	0C	2.64	3.06	0.86
rep6	112	0C	2.00	2.83	0.71
rep7	112	0C	2.00	2.86	0.70
rep8	112	0C	1.94	2.83	0.69
rep9	112	0C	2.59	3.06	0.85
rep10	112	0C	2.11	2.48	0.85
rep1	112	2.5C	4.15	3.53	1.00
rep2	112	2.5C	NA	NA	1.00
rep3	112	2.5C	1.87	2.66	0.70
rep4	112	2.5C	2.14	2.67	0.80
rep5	112	2.5C	2.60	3.37	0.77
rep6	112	2.5C	2.17	2.37	0.92
rep7	112	2.5C	2.70	2.96	0.91
rep8	112	2.5C	2.34	2.96	0.79
rep9	112	2.5C	3.34	3.42	0.98
rep10	112	2.5C	2.35	2.60	0.90
rep1	112	5C	1.97	2.64	0.75
rep2	112	5C	2.28	2.72	0.84
rep3	112	5C	1.51	2.66	0.57
rep4	112	5C	2.32	2.42	0.96
rep5	112	5C	1.88	2.46	0.76
rep6	112	5C	2.82	2.93	0.96
rep7	112	5C	2.28	2.70	0.84
rep8	112	5C	1.99	2.78	0.72
rep9	112	5C	2.34	2.57	0.91
rep10	112	5C	NA	NA	1.00
rep1	112	7.5C	0.92	2.57	0.36
rep2	112	7.5C	1.31	2.66	0.49
rep3	112	7.5C	1.51	2.82	0.54
rep4	112	7.5C	0.76	2.57	0.30
rep5	112	7.5C	1.71	2.74	0.62
rep6	112	7.5C	1.91	3.06	0.62
rep7	112	7.5C	0.48	2.66	0.18
rep8	112	7.5C	1.49	2.60	0.57
rep9	112	7.5C	2.34	3.00	0.78
rep10	112	7.5C	1.51	2.36	0.64
rep1	112	10C	0.53	2.63	0.20
rep2	112	10C	1.14	3.00	0.38
rep3	112	10C	1.12	2.62	0.43
rep4	112	10C	0.67	3.60	0.19
rep5	112	10C	1.01	2.77	0.36
rep6	112	10C	0.90	2.43	0.37
rep7	112	10C	0.87	2.48	0.35
rep8	112	10C	1.03	2.47	0.42
rep9	112	10C	0.39	2.91	0.13
rep10	112	10C	0.55	2.65	0.21
rep1	112	dark	3.08	3.53	0.87
rep2	112	dark	2.28	2.86	0.80
rep3	112	dark	1.63	2.60	0.63
rep4	112	dark	3.22	3.52	0.91
rep5	112	dark	2.24	3.20	0.70
rep6	112	dark	2.29	3.05	0.75
