rep	time	treatment	embryo	endosperm	ratio
rep4	84	2.5C	1.64	3.36	0.488095238
rep5	84	2.5C	1.62	3.82	0.42408377
rep6	84	2.5C	0.92	2.96	0.310810811
rep7	84	2.5C	1.43	3.19	0.448275862
rep8	84	2.5C	0.82	3.68	0.222826087
rep9	84	2.5C	2.05	3.85	0.532467532
rep10	84	2.5C	2.38	3.55	0.670422535
rep1	84	5C	1.54	3.28	0.469512195
rep2	84	5C	1.53	3.12	0.490384615
rep3	84	5C	1.96	2.93	0.66894198
rep4	84	5C	1.73	3.33	0.51951952
rep5	84	5C	1.31	3.1	0.422580645
rep6	84	5C	1.32	3.45	0.382608696
rep7	84	5C	2.77	3.86	0.71761658
rep8	84	5C	0.87	3.46	0.251445087
rep9	84	5C	1.03	2.96	0.347972973
rep10	84	5C	1.03	2.98	0.345637584
rep1	84	7.5C	1.83	3.8	0.481578947
rep2	84	7.5C	1.13	3.55	0.318309859
rep3	84	7.5C	1.35	3.02	0.447019868
rep4	84	7.5C	0.85	2.87	0.296167247
rep5	84	7.5C	1.25	3.47	0.360230548
rep6	84	7.5C	1.19	3.27	0.363914373
rep7	84	7.5C	1.5	4.07	0.368550369
rep8	84	7.5C	1.34	4.11	0.326034063
rep9	84	7.5C	1.12	3.71	0.301886792
rep10	84	7.5C	1.25	3.32	0.376506024
rep1	84	10C	1.04	2.97	0.35016835
rep2	84	10C	0.65	3.47	0.187319885
rep3	84	10C	0.95	3.22	0.295031056
rep4	84	10C	1.15	3.4	0.338235294
rep5	84	10C	0.64	3.11	0.205787781
rep6	84	10C	0.5	3.9	0.128205128
rep7	84	10C	1.27	3.56	0.356741573
rep8	84	10C	1.03	3.33	0.309309309
rep9	84	10C	0.75	3.62	0.20718232
rep10	84	10C	1.03	3.34	0.308383234
rep1	84	dark	2.01	3.22	0.624223602
rep2	84	dark	1.47	3.39	0.433628319
rep3	84	dark	1.66	3.12	0.532051282
rep4	84	dark	1.82	4.12	0.441747573
rep5	84	dark	1.38	3.76	0.367021277
rep6	84	dark	1.38	3.78	0.365079365
rep7	84	dark	1.15	3.88	0.296391753
rep8	84	dark	2.13	3.34	0.637724551
rep9	84	dark	1.74	3.95	0.440506329
rep10	84	dark	2.45	3.8	0.644736842
rep1	98	m2.5C	0.64	3.79	0.168865435
rep2	98	m2.5C	1.05	3.49	0.300859599
rep3	98	m2.5C	0.36	3.46	0.104046243
rep4	98	m2.5C	0.24	2.99	0.080267559
rep5	98	m2.5C	0.31	4.05	0.07654321
rep6	98	m2.5C	0.35	2.72	0.128676471
rep7	98	m2.5C	0.52	3.52	0.147727273
rep8	98	m2.5C	0.34	3.01	0.112956811
rep9	98	m2.5C	0.52	4.11	0.126520681
rep10	98	m2.5C	0.73	3.75	0.194666667
